#bugNames	pValuesTime	pValuesVolume	pValuesGroup	pValuesFobVsDIO	pValuesFobVsHCCR	pValuesFobVsLCCR	pValuesFobVsICR	pValuesHCCRVsLCCR	pValuesLog10VolumeWithDirection	bugIndex	corCoeffVolumeBug	pValuesAdjustedTime	pValuesAdjustedVolume	pValuesAdjustedGroup	pValuesFobVsDIOAdjusted	pValuesFobVsHCCRAdjusted	pValuesFobVsLCCRAdjusted	pValuesFobVsICRAdjusted	pValuesHCCRVsICCRAdjusted
"Bacteria, NA, NA, NA, NA, NA"	0.314611486	0.581746033	0.00239892	0.337049058	0.335561278	0.019288934	0.001336093	0.070218201	-0.235266569	155	0.028164313	0.927934024	0.84876962	0.012021252	0.632337966	0.718932039	0.16931908	0.019557877	0.557751301
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium_9"	0.736219319	0.230767763	0.002723428	0.20991521	0.065808352	0.548175301	0.351003776	0.301804191	0.63682486	67	-0.141607164	0.990516246	0.594721491	0.013497428	0.521888644	0.437975486	0.779391216	0.586646289	0.739488206
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, GCA-900066575"	0.487729103	0.009851927	0.00284889	0.003844711	0.66997859	0.993221869	0.067086384	0.659941587	-2.006478828	132	0.224386745	0.950495723	0.119551941	0.013965754	0.189462981	0.896354448	0.995429029	0.247999664	0.88742748
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium_9"	0.576815266	0.041596505	0.003492974	0.584807015	0.027240286	0.058893057	0.465876691	0.665758346	-1.380943163	148	0.181591095	0.956410607	0.288843423	0.016939045	0.786783031	0.362682669	0.288704006	0.67343073	0.890746716
"Bacteria, NA, NA, NA, NA, NA"	0.782691744	0.570155352	0.003723175	0.110377044	0.490409015	0.024009137	0.018684147	0.054546218	0.244006795	204	-0.050900048	0.990516246	0.843082176	0.017863319	0.470267039	0.804971648	0.183737521	0.123919856	0.512216184
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, NA"	0.150005964	0.999688597	0.003824568	0.418603841	0.068926725	0.512813824	0.524153374	0.22225383	0.000135262	374	-0.00092557	0.899086628	0.999688597	0.018156632	0.700668373	0.437975486	0.767538225	0.716343864	0.682058201
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium_9"	0.430058236	0.061661594	0.004328998	0.034960523	0.693673453	0.372089597	0.114471245	0.6073185	-1.20998525	253	0.172704299	0.950495723	0.356022796	0.020337273	0.333198078	0.90479146	0.684948605	0.33913951	0.878835229
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, NA"	0.471737471	0.369627694	0.004628985	0.004123648	0.079667336	0.338800696	0.098871496	0.018696663	-0.432235497	264	0.079804699	0.950495723	0.722444954	0.021522395	0.189462981	0.448523144	0.667245039	0.305418116	0.438610926
"Bacteria, NA, NA, NA, NA, NA"	0.005556849	0.723879006	0.004802532	0.170460345	0.204274749	0.230721992	0.106313904	0.913847881	-0.140334019	337	0.026002198	0.899086628	0.914480201	0.022101448	0.476441958	0.585500874	0.553487332	0.32035345	0.985900242
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.249680582	0.648329688	0.005000553	0.131702812	0.60540302	0.460631248	0.006815566	0.825494861	0.188204091	166	-0.052509567	0.927934024	0.883339653	0.022780296	0.470267039	0.862124555	0.728714263	0.061476406	0.955201323
"Bacteria, NA, NA, NA, NA, NA"	0.469986633	0.606199955	0.005142946	0.050513952	0.852365216	0.793575913	0.130086052	0.624434002	0.2173841	307	-0.017417166	0.950495723	0.859750309	0.023194687	0.40100413	0.965866238	0.89940854	0.368986223	0.878835229
"Bacteria, NA, NA, NA, NA, NA"	0.493161861	0.427981937	0.005224512	0.886571968	0.260899248	0.428591606	0.799581989	0.709469339	-0.36857456	506	0.075162147	0.950495723	0.75300421	0.023329257	0.95215362	0.668148493	0.705455526	0.890398709	0.905731384
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.629056018	0.427103317	0.00557615	0.014141816	0.148661588	0.013065526	0.076370423	0.099615173	0.369467056	118	-0.026053323	0.958706655	0.75300421	0.024655329	0.217351897	0.526753657	0.136395521	0.275544486	0.578433664
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.390753677	0.128278698	0.005720968	0.007578519	0.082396182	0.000429431	2.33E-05	0.030215419	0.891845456	390	-0.105436185	0.950495723	0.459156293	0.024932532	0.189462981	0.448523144	0.048418399	0.001493311	0.438610926
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, NA"	0.591477367	0.008429893	0.005749409	0.248947367	0.036148208	0.004829007	0.002077292	0.604290901	2.074177925	36	-0.242837159	0.957368688	0.108625196	0.024932532	0.56578947	0.425424363	0.108381501	0.028389661	0.878835229
"Bacteria, Firmicutes, NA, NA, NA, NA"	0.598466922	0.000204376	0.006084542	0.125130124	0.005605523	0.073453812	0.046955919	0.242866909	-3.689569376	387	0.373672501	0.957368688	0.008631851	0.026134555	0.470267039	0.207583144	0.331276693	0.209040101	0.695188469
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.906627564	0.080491633	0.006944696	0.516123516	0.114866429	0.242380368	0.273629117	0.592170063	-1.09424926	419	0.161916016	0.990516246	0.361537449	0.029432435	0.765715619	0.52212013	0.560303961	0.516346158	0.878835229
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides"	0.173562522	0.459384356	0.006982861	0.036748842	0.19920513	0.056063865	0.021788888	0.317848616	0.337823799	64	-0.063892369	0.899086628	0.773068449	0.029432435	0.337489367	0.583813313	0.277854981	0.136483174	0.741097809
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcaceae_UCG-014"	0.345683417	0.020889804	0.007335823	0.237574984	0.069540863	0.00507173	0.331855374	0.299125573	-1.680065638	230	0.219406806	0.950495723	0.209362256	0.030633854	0.555805299	0.437975486	0.108381501	0.573435914	0.739488206
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.975056147	0.123548683	0.007810409	0.898262761	0.025176364	0.076159849	0.278717676	0.526203732	-0.908161881	358	0.140861214	0.990516246	0.455341482	0.032316461	0.955199581	0.362682669	0.333476622	0.519428397	0.871822701
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.031217837	0.620285838	0.008101456	0.294824097	0.6436155	0.292790689	0.143048629	0.540202269	-0.207408134	214	0.029904582	0.899086628	0.866095706	0.033215968	0.612375257	0.877657499	0.609122859	0.39338373	0.871822701
"Bacteria, NA, NA, NA, NA, NA"	0.426116843	0.734158323	0.008418138	0.08226608	0.04017982	0.165393889	0.008585181	0.34895774	-0.134210274	567	0.028987133	0.950495723	0.916710589	0.034203426	0.432552051	0.425424363	0.475112382	0.06816237	0.756945167
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.839286002	0.105389012	0.008624854	0.327214399	0.038996128	0.224389212	0.34278784	0.164410195	-0.977204666	479	0.14646516	0.990516246	0.419519485	0.034730439	0.62925846	0.425424363	0.54645056	0.583386098	0.661688018
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnospiraceae_UCG-006"	0.259682553	0.702732252	0.008755584	0.56295887	0.445751693	0.366744327	0.371173772	0.890642991	-0.153210114	453	0.033599208	0.927934024	0.906511642	0.034944852	0.779481512	0.795985166	0.682707241	0.60432986	0.978517193
"Bacteria, NA, NA, NA, NA, NA"	0.358923286	0.751162299	0.009065332	0.154441611	0.258532495	0.136417184	0.088839867	0.736429253	-0.124266217	224	0.027992602	0.950495723	0.916710589	0.035863725	0.473470343	0.668148493	0.414458921	0.288423861	0.924375995
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.445762722	0.667345297	0.010493532	0.916196058	0.211662843	0.299643275	0.127998958	0.809996476	-0.175649396	362	0.032446773	0.950495723	0.893094152	0.041152893	0.961044816	0.599045781	0.615830901	0.365700386	0.955201323
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.464857991	0.256797498	0.010590875	0.167860643	0.292884472	0.715349639	0.077035386	0.445890328	-0.590409212	466	0.106068241	0.950495723	0.629432998	0.041176592	0.475077291	0.688403419	0.860729646	0.275737772	0.846747427
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaerotruncus"	0.760318751	0.843669495	0.011292301	0.23511627	0.147787755	0.005604675	0.172681166	0.19556557	-0.073827653	504	0.018061179	0.990516246	0.934235586	0.043528441	0.554523212	0.526753657	0.108381501	0.425569432	0.661688018
"Eukaryota, NA, NA, NA, NA, NA"	0.225949431	0.330900969	0.011614709	0.009852136	0.969255938	0.44733726	0.655594921	0.376126221	-0.480301961	575	0.088417832	0.899086628	0.695288711	0.044247867	0.201520969	0.989788439	0.720532516	0.812289311	0.776903424
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.12995351	0.324368075	0.011675158	0.189916873	0.320424723	0.106207349	0.149266094	0.134100245	-0.488961897	54	0.093835132	0.899086628	0.690047178	0.044247867	0.485582913	0.706819241	0.373769313	0.400708382	0.661688018
"Bacteria, NA, NA, NA, NA, NA"	0.632719183	0.458198711	0.011782768	0.53994561	0.523533456	0.139591759	0.244287873	0.368313755	-0.338946137	394	0.088371317	0.958706655	0.773068449	0.044283569	0.774313795	0.819743089	0.41970589	0.481772048	0.770889254
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.898998964	0.519868194	0.011920329	0.591885601	0.479274708	0.22536542	0.585390871	0.589203783	-0.284106752	442	0.049329772	0.990516246	0.822668615	0.044430317	0.786783031	0.801760663	0.54645056	0.761608124	0.878835229
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.542579053	0.080805719	0.012090663	0.330719547	4.36E-05	0.391899586	0.047277362	0.000724837	1.092557901	456	-0.213305363	0.951195681	0.361537449	0.04469581	0.632337966	0.011654686	0.694417991	0.209040101	0.081544218
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.954097305	0.773313351	0.012282512	0.090884991	0.201647637	0.179114552	0.090172427	0.694012646	0.111644492	84	-0.071281205	0.990516246	0.916710589	0.045035878	0.444546151	0.584076951	0.500037432	0.288423861	0.903339918
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.795366013	0.5404652	0.013517455	0.639331123	0.006794378	0.005505412	0.01479998	0.529030154	-0.267232264	9	0.216839262	0.990516246	0.840683454	0.049164291	0.821997159	0.207583144	0.108381501	0.107657919	0.871822701
"Bacteria, NA, NA, NA, NA, NA"	0.371482219	0.760214884	0.013849229	0.634047444	0.552349029	0.819455331	0.141039368	0.694761347	-0.119063632	162	0.022267126	0.950495723	0.916710589	0.049968017	0.821997159	0.831294524	0.908045096	0.390237762	0.903339918
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillibacter"	0.228201546	0.596254179	0.014775383	0.142757858	0.145310459	0.184871612	0.488393231	0.95011745	-0.224568564	39	0.017882186	0.899086628	0.853684555	0.05288649	0.472360558	0.526753657	0.508396934	0.694843367	0.985900242
"Bacteria, NA, NA, NA, NA, NA"	0.309562552	0.424226466	0.015350605	0.651444428	0.723484901	0.108606342	0.595928225	0.184747932	-0.37240224	443	0.074425359	0.927934024	0.75300421	0.054512777	0.826784765	0.917093536	0.373769313	0.770987777	0.661688018
"Bacteria, NA, NA, NA, NA, NA"	0.738064705	0.046284625	0.015516808	0.976350613	0.043713323	0.022266603	0.003065042	0.815558034	1.334563254	446	-0.206688662	0.990516246	0.302527039	0.054672504	0.982903302	0.431875909	0.17660769	0.03455835	0.955201323
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.937890386	0.698477228	0.016517787	0.007414495	0.683855156	0.863946383	0.101946311	0.545181224	0.155847748	267	-0.071741327	0.990516246	0.906511642	0.057408962	0.189462981	0.900017374	0.934388055	0.311057888	0.873066018
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, GCA-900066575"	0.984908515	0.09945391	0.016548038	0.166201574	0.296843527	0.006547632	0.08380693	0.0912322	1.002378137	316	-0.16639671	0.991503885	0.407753303	0.057408962	0.473470343	0.68968551	0.108381501	0.28513928	0.578433664
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium"	0.894589136	0.842358333	0.017437998	0.835631721	0.016921481	0.174323715	0.45702027	0.22389454	0.074503123	81	-0.03896549	0.990516246	0.934235586	0.060034635	0.930272651	0.310793092	0.497594909	0.665652694	0.682058201
"NA, NA, NA, NA, NA, NA"	0.230750131	0.054456486	0.017765063	0.83113403	0.471467826	0.037603204	0.233822421	0.191008175	-1.263950384	562	0.175183402	0.899086628	0.331890207	0.0606973	0.930272651	0.796809582	0.234911928	0.479335963	0.661688018
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcaceae_UCG-014"	0.110578568	0.000129741	0.018008592	0.013186386	0.020028888	0.124124448	0.741493632	0.30894174	-3.886923965	246	0.345292314	0.899086628	0.006501448	0.061066729	0.217351897	0.310793092	0.386069834	0.860331482	0.739488206
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium_9"	0.637154284	0.20964024	0.018200212	0.725085971	0.137169819	0.093019106	0.0003665	0.891537887	0.678525351	219	-0.115646797	0.958706655	0.559454132	0.061255938	0.879484331	0.526753657	0.370660544	0.007186578	0.978517193
"Bacteria, NA, NA, NA, NA, NA"	0.444693272	0.003466156	0.018885263	0.215696546	0.017232816	0.042484796	0.115803735	0.334281943	-2.460151903	509	0.335698501	0.950495723	0.057897642	0.063090768	0.526465062	0.310793092	0.242424009	0.33913951	0.756945167
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.019217716	0.080009311	0.019643203	0.913073924	0.018915459	0.003662606	0.526360057	0.518491788	1.09685947	331	-0.167596469	0.899086628	0.361537449	0.065140327	0.961044816	0.310793092	0.108381501	0.717185455	0.871822701
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.949989114	0.432864368	0.019847988	0.134441387	0.710261651	0.452564921	0.062125548	0.25195147	-0.363648163	293	0.045147926	0.990516246	0.756673759	0.065338998	0.470267039	0.912631699	0.726358646	0.235450607	0.701287068
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.950763595	0.867391017	0.020260691	0.31521206	0.885847603	0.518842643	0.63514055	0.594361656	-0.06178508	327	0.054018165	0.990516246	0.94602874	0.066214286	0.629155036	0.975094714	0.767538225	0.793485839	0.878835229
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.187272454	0.107825864	0.020771107	0.009207656	0.96693915	0.853009953	0.159964031	0.838454495	-0.967277054	12	0.150836572	0.899086628	0.420507003	0.067394025	0.201520969	0.989788439	0.93149513	0.407591966	0.955201323
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.288929519	0.694852194	0.021720789	0.010674516	0.836192322	0.003487364	0.308996054	0.026160993	-0.158107567	63	0.001209117	0.927934024	0.905717744	0.069770002	0.208849218	0.962190087	0.108381501	0.548650474	0.438610926
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.542461781	0.078855381	0.021815861	0.081638122	0.747068143	0.352373536	0.262936742	0.192165087	-1.103168664	105	0.163785506	0.951195681	0.361537449	0.069770002	0.432552051	0.924808725	0.675579388	0.500356417	0.661688018
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.54179835	0.374478894	0.021967495	0.15032349	0.338800696	0.019897808	0.007186094	0.003549126	0.426572654	489	-0.092496917	0.951195681	0.724549176	0.069770002	0.473463124	0.719152421	0.16931908	0.063547617	0.228665409
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.01077802	0.008691979	0.022417889	0.002700464	0.670693683	0.212715744	0.745874966	0.096546467	2.060881309	277	-0.24574491	0.899086628	0.108891187	0.070702572	0.189462981	0.896354448	0.52711429	0.860331482	0.578433664
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, CR-115, NA"	0.311385753	0.924999226	0.022710391	0.00519523	0.072480859	0.000326408	0.05193374	0.109617382	0.03385863	80	-0.011570317	0.927934024	0.98622849	0.071127682	0.189462981	0.446799815	0.048418399	0.214743164	0.587235976
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.201641179	0.838379532	0.023721955	0.021734326	0.004305164	0.055275741	0.002870983	0.352873026	0.076559333	329	-0.019959521	0.899086628	0.934235586	0.07378346	0.244511164	0.193732399	0.276992879	0.034250594	0.756945167
"Bacteria, NA, NA, NA, NA, NA"	0.445470839	0.995150066	0.024393235	0.780839084	0.680590772	0.88580753	0.578019416	0.559717517	0.002111424	526	-0.000716922	0.950495723	0.999547657	0.075351705	0.90561234	0.900017374	0.950408324	0.759360869	0.878835229
"Bacteria, NA, NA, NA, NA, NA"	0.013719326	0.253900732	0.024602232	0.182920603	0.062070101	0.024172677	0.034955356	0.539133816	0.595336048	51	-0.101918729	0.899086628	0.625733497	0.075480316	0.483701656	0.437975486	0.183737521	0.180092562	0.871822701
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcaceae_UCG-014"	0.11366292	0.000938961	0.025433376	0.132244388	0.191921168	0.012956814	0.331352484	0.232144761	-3.027352525	215	0.306599828	0.899086628	0.024910078	0.077503058	0.470267039	0.583813313	0.136395521	0.573435914	0.687846715
"Bacteria, NA, NA, NA, NA, NA"	0.081505421	0.022079331	0.025764	0.809027352	0.580891713	0.606711744	0.0083	0.954619201	-1.656014097	328	0.208332469	0.899086628	0.216473437	0.077816331	0.925312	0.85425252	0.803774752	0.06816237	0.985900242
"Bacteria, NA, NA, NA, NA, NA"	0.84597542	0.007106746	0.025881263	0.066000625	0.406168702	0.985169579	0.025880479	0.385554617	2.148329204	126	-0.306808836	0.990516246	0.097125529	0.077816331	0.418313822	0.768923712	0.989557862	0.1459012	0.784756905
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnoclostridium"	0.506499546	0.000667328	0.026266717	0.166122238	0.860694136	0.041526561	0.040505737	0.022363707	3.175660891	385	-0.312525245	0.951195681	0.021497483	0.078452246	0.473470343	0.965866238	0.242424009	0.190292575	0.438610926
"Bacteria, NA, NA, NA, NA, NA"	0.741938884	0.198653588	0.027641932	0.558316656	0.0999484	0.92791525	0.789516523	0.100446076	0.701903586	613	-0.179577361	0.990516246	0.549648885	0.081721783	0.777840542	0.499741999	0.973232042	0.88355323	0.578433664
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnospiraceae_NK4A136_group"	0.289554034	0.184251374	0.027799995	0.389286048	0.309164037	0.13692767	0.298928638	0.62660003	-0.734589266	279	0.120007918	0.927934024	0.526906211	0.081721783	0.66607879	0.694660445	0.414458921	0.541432995	0.878835229
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.216528151	0.774126667	0.02802841	0.326130342	0.130377346	0.091053638	0.617274878	0.87992188	-0.111187972	447	0.040595642	0.899086628	0.916710589	0.081721783	0.62925846	0.526753657	0.370660544	0.78063305	0.977690978
"Bacteria, NA, NA, NA, NA, NA"	0.872088615	0.018072307	0.0280862	0.224632372	0.331618288	0.615776247	0.179835655	0.624034787	-1.742986407	551	0.217026381	0.990516246	0.186671001	0.081721783	0.540559184	0.714010667	0.803774752	0.429131643	0.878835229
"Bacteria, NA, NA, NA, NA, NA"	0.804550694	0.109604794	0.029754443	0.966825368	0.174853959	0.19185037	0.000580846	0.935002408	0.960170452	534	-0.159559098	0.990516246	0.422493691	0.085857385	0.979130028	0.566073969	0.516530965	0.010075453	0.985900242
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.276526936	0.865510344	0.029888269	0.647079016	0.184661305	0.236677542	0.95045604	0.026393771	-0.062727737	168	0.032210836	0.927934024	0.94602874	0.085857385	0.826784765	0.583813313	0.558856394	0.978665923	0.438610926
"Bacteria, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, NA"	0.624849867	0.438126711	0.031145459	0.435671597	0.166167985	0.192363713	0.03927553	0.008755992	0.358400268	334	-0.071427458	0.958706655	0.757069528	0.088588782	0.710334125	0.562289077	0.516530965	0.186455409	0.415429851
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.188114584	0.001415734	0.031387285	0.159614881	0.699610139	0.235894267	0.097563646	0.396136936	-2.849018394	349	0.326986582	0.899086628	0.029478461	0.088588782	0.473470343	0.90989758	0.558856394	0.305418116	0.799379466
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillospira"	0.333745946	0.855652989	0.031428393	0.517491837	0.269646045	0.283865216	0.189038122	0.976010127	-0.067702328	687	0.023481841	0.934903239	0.943519555	0.088588782	0.765715619	0.674115113	0.596685478	0.436609861	0.986976533
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.468925926	0.142908803	0.031864483	0.843005718	0.001728288	0.061313731	0.323304701	0.221198502	-0.844941019	128	0.134718644	0.950495723	0.470874659	0.089260135	0.930272651	0.12962161	0.29181345	0.567355721	0.682058201
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.525626655	0.684148544	0.032489476	0.073141696	0.681401182	0.561685087	0.028766035	0.828981486	-0.164849593	78	0.012612971	0.951195681	0.899565579	0.090449096	0.431062039	0.900017374	0.789158799	0.156307009	0.955201323
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.531661435	0.591243765	0.033634208	0.779482703	0.508008645	0.755919726	0.244624831	0.695887368	-0.228233426	459	0.048904044	0.951195681	0.849206809	0.09306152	0.90561234	0.814761651	0.873806741	0.481772048	0.903339918
"Bacteria, NA, NA, NA, NA, NA"	0.981528254	0.449120244	0.034539642	0.083451884	0.758542333	0.616643158	0.497524422	0.415179715	0.347637369	116	-0.069640074	0.990516246	0.764448247	0.094984017	0.432552051	0.924808725	0.803774752	0.700158326	0.8214835
"Bacteria, Patescibacteria, Saccharimonadia, Saccharimonadales, Saccharimonadaceae, Candidatus_Saccharimonas"	0.721438172	0.010338194	0.034971252	0.07979993	0.03652437	0.140632867	0.135304054	0.48514072	-1.985555302	313	0.293167502	0.990516246	0.119551941	0.095588087	0.432552051	0.425424363	0.420035913	0.381388303	0.857804908
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.912117582	0.517810775	0.035289178	0.130659558	0.003020523	0.006896114	0.562735985	0.708184598	-0.285828916	310	0.014741543	0.990516246	0.822298097	0.095698353	0.470267039	0.151026138	0.108381501	0.747602463	0.905731384
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.522308586	0.218041338	0.035568731	0.253339036	0.316489552	0.131507909	0.148420805	0.059189426	0.661461162	13	-0.120582471	0.951195681	0.571724671	0.095698353	0.568623355	0.705050983	0.406233335	0.400708382	0.512216184
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnoclostridium"	0.324738335	0.00086781	0.035648167	0.117798562	0.263320991	0.038008462	0.163688089	0.310768095	3.061575103	286	-0.304604014	0.929016493	0.024910078	0.095698353	0.470267039	0.668148493	0.234911928	0.414737797	0.739924036
"Bacteria, NA, NA, NA, NA, NA"	0.320970527	0.122331234	0.038525529	0.836595002	0.467390773	0.238987201	0.089461927	0.041005765	0.912462643	444	-0.141175598	0.927934024	0.455341482	0.102810731	0.930272651	0.796809582	0.560303961	0.288423861	0.512216184
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium_9"	0.888038328	0.24877088	0.038913785	0.540538805	0.082128906	0.418300635	0.290796284	0.164330058	-0.604200458	430	0.116263309	0.990516246	0.616459708	0.103235982	0.774313795	0.448523144	0.703931293	0.533126521	0.661688018
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.038573451	0.53156187	0.039786603	0.051882716	0.756701535	0.101095317	0.304933906	0.152742872	-0.274446179	93	0.09639435	0.899086628	0.83531151	0.104934257	0.40100413	0.924808725	0.372708891	0.545734888	0.661688018
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium"	0.35362421	0.153808959	0.04323337	0.115658732	0.848556103	0.558439815	0.216975081	0.679933188	-0.813018368	265	0.131653858	0.950495723	0.491970499	0.113361919	0.470267039	0.965866238	0.787446803	0.468209386	0.897272535
"Bacteria, NA, NA, NA, NA, NA"	0.401094022	0.078935791	0.043558472	0.060627653	0.130581649	0.465065527	0.20891924	0.653305814	-1.102726035	98	0.162880647	0.950495723	0.361537449	0.113554167	0.41166014	0.526753657	0.728714263	0.461875378	0.883969008
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcaceae_UCG-010"	0.926315453	0.568319395	0.044121193	0.015130612	0.735815096	0.145975337	0.052376381	0.055733639	-0.245407523	369	0.0918825	0.990516246	0.843082176	0.114360102	0.219637912	0.924808725	0.43312419	0.214743164	0.512216184
"Bacteria, NA, NA, NA, NA, NA"	0.792835083	0.406149078	0.045224888	0.159603859	0.04945841	0.200504276	0.151424646	0.474379709	-0.391314529	505	0.079747056	0.990516246	0.750709975	0.116550998	0.473470343	0.433563795	0.522701899	0.402518352	0.855024331
"Bacteria, NA, NA, NA, NA, NA"	0.774580748	0.772702745	0.048276022	0.18304129	0.526772293	0.81366567	0.984643545	0.35456368	0.111987545	288	-0.046218001	0.990516246	0.916710589	0.123707305	0.483701656	0.819743089	0.903850289	0.997919638	0.756945167
"Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus"	0.552239808	0.654417318	0.048976958	0.450903778	0.441470656	0.102386726	0.230983762	0.042298112	0.184145217	129	-0.045729662	0.955974921	0.883659312	0.124794396	0.729880217	0.795190041	0.372708891	0.479335963	0.512216184
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.416797179	0.034352792	0.052596814	0.77721183	0.574352557	1.63E-05	1.00E-06	0.153160849	1.464037959	127	-0.194682729	0.950495723	0.276989114	0.133264961	0.90561234	0.85019293	0.007348755	0.000451121	0.661688018
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.320115273	0.18168121	0.054016763	0.323042033	0.013883961	0.197288375	0.690219251	0.115629976	0.740689987	248	-0.123407654	0.927934024	0.526906211	0.1360981	0.62925846	0.310793092	0.521664762	0.830103685	0.593737755
"Bacteria, NA, NA, NA, NA, NA"	0.927569349	0.49371115	0.055066823	0.347963536	0.605170882	0.965126017	0.181580868	0.5422836	-0.306527065	420	0.063749835	0.990516246	0.806752639	0.137972985	0.632337966	0.862124555	0.987010961	0.43101564	0.871822701
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium"	0.105916707	0.034393327	0.055404004	0.175165681	0.63415654	0.412908405	0.085352113	0.169962797	1.463525813	159	-0.194423721	0.899086628	0.276989114	0.13805086	0.480637539	0.875873472	0.703931293	0.28513928	0.661688018
